ethnicity,lgr,sex,agegrp,qualification,occupation,hours,income
1,8,1,20,2,3,40,768
4,2,2,20,3,1,32,950
1,5,2,65,3,10,0,351
1,2,1,25,4,2,30,965
1,3,2,25,2,10,0,330
3,2,1,65,1,10,0,312
12,8,2,50,2,6,45,769
1,2,1,45,3,1,55,2020
1,4,2,35,2,3,40,823
1,4,1,40,3,10,0,265
2,7,1,45,1,3,37.5,1420
1,4,2,30,2,5,32,634
1,7,2,35,1,10,0,196
1,11,2,20,1,8,5,206
1,3,2,65,3,10,0,331
1,7,2,55,2,8,37.5,777
1,1,1,55,2,2,65,4001
1,7,1,65,4,10,0,294
4,2,2,65,3,10,0,400
1,8,2,50,3,5,8,-6
1,10,1,65,3,10,0,434
4,2,1,25,3,10,0,386
1,2,2,65,4,10,0,192
1,10,2,30,3,10,0,292
3,2,2,45,3,10,0,207
1,7,2,55,5,1,2,70
1,9,1,65,5,10,0,3047
1,2,2,55,1,5,32,571
1,2,1,25,5,10,0,266
1,1,2,65,1,7,40,638
1,10,2,65,1,10,0,0
1,2,2,30,4,2,40,1208
12,2,2,25,2,6,0,2071
2,12,2,50,2,6,29,536
1,12,2,15,2,1,38,923
1,9,2,30,1,10,0,56
1,4,1,30,3,8,0,270
6,10,1,30,2,8,43,1138
2,2,1,20,2,1,40,1097
1,2,1,30,4,5,40,669
2,3,1,25,1,10,0,44
1,7,1,45,3,1,40,784
1,5,2,65,2,10,0,294
4,10,1,20,4,10,0,0
1,2,1,25,4,1,0,844
1,9,2,30,3,2,0,485
1,4,1,65,3,6,0,2532
4,2,1,25,3,1,50,1151
1,4,1,60,1,3,0,690
3,2,1,50,1,1,0,-112
3,2,1,65,1,10,0,271
2,7,2,30,3,10,0,393
2,3,1,30,4,3,40,936
4,2,2,50,5,8,21,504
2,2,2,20,1,10,0,470
1,4,1,65,5,10,0,272
1,10,1,25,2,10,0,183
5,2,2,65,5,10,0,0
1,8,1,25,4,6,45,554
3,2,2,50,3,1,19.5,298
2,2,1,20,1,7,41,1211
1,10,1,35,1,8,40,576
6,8,1,55,3,1,50,2215
1,5,2,55,1,5,20,774
1,5,2,20,2,3,30,749
1,9,2,60,1,6,44,1157
1,10,1,20,2,10,0,855
1,10,1,30,2,2,40,1983
3,5,2,50,4,2,40,1522
1,8,1,20,3,7,15,264
1,3,1,20,2,10,0,158
1,2,2,15,3,10,0,0
1,10,2,55,3,5,32,829
1,10,1,65,5,10,0,144
4,2,2,50,3,8,40,798
1,2,1,65,4,10,0,1
1,10,2,15,2,10,0,0
1,2,1,60,3,3,45,587
1,2,2,40,4,2,16,1529
1,8,1,50,4,1,0,957
1,10,2,15,2,4,12,140
1,8,1,40,4,3,40,1498
4,2,2,25,3,10,28,-84
1,4,1,65,1,10,0,19
1,2,1,60,3,4,45,876
1,8,1,65,3,10,0,265
1,2,2,25,2,5,5,132
1,2,2,65,1,10,0,0
1,10,2,15,2,10,0,605
4,8,2,30,4,2,38,684
1,1,1,25,3,2,40,648
4,4,1,25,1,3,44,864
3,2,1,50,3,7,37.5,2816
1,3,1,60,4,2,40,2244
3,2,2,65,1,10,0,84
4,2,2,45,4,2,35,1116
1,10,2,65,2,10,0,3
1,10,1,20,4,2,30,351
4,2,1,15,2,10,0,0
1,2,2,65,1,10,0,322
34,2,2,15,2,10,0,0
4,10,1,40,5,10,9,282
1,8,1,35,1,9,35,504
12,3,2,55,2,6,37.5,708
3,2,1,50,1,8,40,826
4,2,1,20,5,4,8,94
1,8,2,25,5,3,40,738
3,2,1,15,2,8,32,432
1,5,1,35,4,2,40,863
1,2,1,65,1,10,0,393
1,1,2,55,1,7,40,572
1,10,2,65,5,10,0,270
1,2,1,35,4,2,8,246
1,2,2,60,3,10,0,643
1,6,2,45,2,5,37,1036
1,3,1,65,3,10,0,308
1,3,1,20,2,3,45,760
1,7,1,45,2,8,40,863
4,2,1,15,2,10,0,0
1,10,1,65,3,10,0,56
1,8,2,25,4,2,22,514
1,8,1,25,3,10,0,180
12,7,2,15,1,10,0,0
4,8,1,40,2,8,46,870
1,4,1,15,1,10,0,0
1,3,2,15,2,10,0,385
1,5,1,50,2,7,45,591
4,2,1,55,1,10,0,252
6,9,1,65,1,10,0,162
4,2,2,65,2,1,40,1156
4,2,1,35,3,10,0,409
6,2,1,50,4,6,45,1663
12,8,1,35,3,10,0,355
1,5,1,65,3,10,0,889
1,7,1,65,4,2,0,996
4,3,1,35,5,3,38,1042
4,4,2,65,1,6,37,0
1,10,1,55,4,2,40,1802
12,10,2,30,1,7,40,572
1,11,2,65,1,3,40,616
1,5,1,55,4,2,37.5,1178
1,8,1,40,4,2,40,2334
1,10,2,55,1,10,0,142
1,8,1,65,1,10,0,0
1,9,1,15,5,10,0,32
4,2,2,60,4,10,0,12
1,11,2,65,1,5,20,292
1,2,2,45,3,8,50,899
1,4,1,45,1,3,0,938
12,4,1,25,3,7,45,851
15,2,2,25,3,3,47,766
1,2,1,15,2,2,40,1055
1,2,1,45,4,10,0,0
1,11,1,20,2,1,2,25
1,9,2,45,2,10,0,247
1,2,1,55,5,2,40,2852
1,2,1,60,3,10,0,0
6,1,1,55,2,1,0,863
1,1,1,55,3,3,40,984
1,12,1,30,4,1,40,1350
2,7,1,50,2,10,0,556
1,5,2,50,4,1,32,540
2,2,2,50,1,5,40,864
1,10,1,20,3,3,45,687
4,4,2,20,4,2,36,583
1,2,1,30,2,7,43,727
4,2,1,25,2,10,0,336
4,2,2,30,5,10,0,377
1,5,2,65,1,10,0,550
1,10,1,45,2,7,40,572
6,11,1,30,5,2,40,906
1,2,2,40,4,1,13,644
3,2,2,60,1,10,0,438
1,11,1,65,2,10,0,230
12,9,2,35,3,2,27,893
4,2,2,50,2,10,0,248
4,2,2,65,1,10,0,150
1,10,2,20,2,10,0,431
6,8,2,55,4,2,49,4258
2,8,2,40,4,2,0,-518
2,8,1,15,1,3,40,905
1,5,2,45,3,6,25,371
1,9,1,55,4,2,40,1477
1,10,1,50,1,1,32,403
2,2,2,25,3,1,55,2770
1,5,1,25,3,3,44,634
1,2,2,65,3,10,0,0
6,5,1,55,3,3,50,859
1,10,1,65,1,10,0,-105
1,1,1,65,3,10,0,344
6,11,2,45,3,5,40,924
1,12,2,65,1,10,0,0
4,10,2,30,4,6,45.5,1208
1,12,2,30,2,7,60,1931
1,10,1,35,3,3,40,1100
2,5,2,25,3,6,35,626
1,3,2,65,1,10,0,265
1,2,1,25,1,8,40,648
6,3,2,20,3,2,40,792
12,1,1,45,1,8,37,984
23,8,1,15,2,10,0,334
1,9,1,15,1,10,0,395
1,8,2,55,1,10,0,28
2,2,1,20,4,2,41.5,857
12,2,1,50,3,3,0,2110
1,2,2,30,4,1,31.5,451
4,2,1,55,4,4,40,720
2,5,1,65,1,1,0,121
1,4,2,65,3,10,0,286
3,2,2,15,1,10,0,0
1,2,1,60,5,10,0,0
1,10,1,50,3,6,40,1381
1,12,1,55,3,10,0,0
3,8,1,45,2,3,13,1217
1,10,2,50,2,4,42,749
3,2,1,30,5,8,40,737
6,8,1,30,1,1,40,1477
1,2,1,40,1,10,0,373
1,10,2,60,3,2,40,1200
1,4,2,65,1,10,0,1
1,9,2,55,1,4,62,3586
1,2,2,25,3,10,0,890
1,4,2,40,3,10,0,1261
1,3,2,20,3,1,40,1118
2,5,2,20,3,10,0,254
1,2,1,45,2,1,45,1295
1,3,1,15,2,10,0,0
1,4,1,50,4,1,0,2765
1,8,1,30,5,6,40,576
2,1,2,40,1,5,40,1097
1,2,2,65,3,10,0,516
12,9,1,35,3,8,44,1069
2,2,2,20,5,5,0,104
12,5,1,50,5,7,40,792
1,10,1,35,3,3,35,1033
1,11,2,50,2,10,0,332
1,4,1,65,2,10,0,352
6,2,1,35,5,3,43,914
1,9,2,45,3,4,38.5,787
1,10,1,50,5,1,0,606
5,2,2,30,1,1,38,1317
2,1,1,50,3,1,0,559
1,11,2,50,3,4,9,172
1,3,2,55,2,5,40,935
4,10,1,20,3,10,0,339
1,3,1,40,3,1,45,1276
2,1,1,50,1,3,45,990
1,2,1,60,5,1,5,200
5,2,1,30,4,10,0,247
1,4,1,60,3,1,0,340
1,10,1,35,5,10,0,331
1,8,1,40,3,3,37,2215
1,1,1,60,3,1,0,17
2,3,2,25,3,10,0,229
13,2,1,15,2,8,7,96
1,2,1,50,3,1,0,4008
1,2,2,45,5,3,40,956
13,2,2,25,3,2,30,702
1,1,1,65,1,10,0,332
1,2,1,15,2,4,55,1438
1,8,2,35,2,10,0,157
3,2,2,35,1,5,39.5,1671
1,2,2,30,2,5,40,756
1,10,1,35,3,1,40.5,1892
1,2,1,20,4,1,40,650
1,3,2,40,1,4,40,748
1,6,2,65,2,10,0,283
4,2,2,15,2,10,0,0
1,4,1,20,1,3,40,475
1,9,1,40,1,1,45,1481
1,4,2,60,1,10,0,497
4,2,1,20,2,10,0,263
1,7,2,65,1,10,0,201
1,12,2,65,3,10,0,-38
4,2,2,55,2,6,41,1276
1,2,1,25,4,1,0,1899
1,7,1,20,3,2,20,505
1,2,1,30,4,10,0,559
1,10,1,60,1,8,40,993
9,2,2,30,4,6,40,740
12,10,2,15,2,10,0,0
1,10,1,65,4,10,0,353
1,4,2,65,1,8,41.5,823
1,2,2,50,2,1,30,486
1,2,1,50,1,7,40,756
2,1,2,65,1,10,0,120
1,10,1,60,1,6,22.5,347
3,2,1,40,1,5,40,903
1,2,2,55,4,2,12,412
4,8,1,60,1,4,20,324
14,2,2,35,4,2,37,895
3,2,1,65,2,10,0,0
4,2,1,65,3,10,0,431
5,12,1,25,3,3,0,529
1,8,1,20,2,1,35,963
4,8,1,55,2,3,43,691
1,9,2,30,2,4,7.5,105
1,12,2,65,3,8,3,72
1,8,2,65,5,10,0,362
1,2,2,55,3,6,40,844
1,2,1,40,3,3,0,2511
1,7,1,55,5,1,40.5,1258
1,7,2,65,2,10,0,0
1,3,1,15,1,10,0,307
1,1,2,65,1,3,30,400
12,4,2,45,3,4,10,1245
4,3,2,35,4,2,37,1326
1,1,1,25,3,8,18,572
1,10,2,30,1,10,0,266
1,5,2,55,1,10,0,609
3,7,2,25,1,1,4,76
1,5,2,50,3,4,40,1476
1,3,2,25,2,1,37,923
1,8,1,55,1,1,53,1313
1,7,1,55,1,1,44,1079
1,2,2,50,1,1,51,837
1,9,2,45,2,5,7,327
1,8,2,15,3,10,0,0
1,10,2,55,3,2,40,2908
1,12,2,35,4,5,17,391
4,2,1,25,4,2,40,836
1,3,1,60,5,7,60,1621
1,2,2,65,4,10,0,666
1,10,1,20,3,3,40,518
1,2,2,65,5,10,0,243
4,2,2,30,3,10,0,0
1,9,2,50,5,8,37.5,1077
1,3,1,35,4,2,56,1590
1,1,2,30,1,6,16,278
1,11,1,65,2,7,40,644
1,2,1,50,2,1,45,1886
1,2,1,50,5,3,32,2761
1,9,1,50,4,2,43.5,1000
1,6,2,65,1,10,0,425
1,2,2,25,2,5,40,1184
1,3,2,65,1,10,0,0
1,5,1,65,3,10,0,0
1,8,1,25,4,2,40,858
1,2,1,55,4,1,50,2188
1,1,2,45,1,5,38,663
1,11,2,50,4,2,46,1729
1,2,2,40,1,1,40,792
6,5,1,50,4,2,8,185
4,2,2,40,2,10,0,427
1,4,1,45,3,3,0,1583
1,10,1,40,4,5,0,5285
1,8,1,55,5,2,50,1873
3,2,1,30,1,3,34,1615
1,7,1,55,1,2,55,1655
1,2,2,35,4,2,20,964
1,8,1,50,3,2,42,2658
1,8,2,55,1,4,20,440
1,2,1,50,4,10,0,336
1,2,2,20,5,10,0,393
1,4,1,30,4,7,40,1035
1,9,1,65,1,10,0,0
2,2,2,30,4,2,30,1287
4,2,2,45,3,8,20,255
4,11,1,50,3,8,45,648
1,11,1,55,3,10,0,462
1,2,1,35,3,2,37,1381
1,10,2,35,3,2,0,-105
1,10,2,20,2,8,39,1393
1,8,1,45,2,1,46,990
1,5,1,45,1,2,57,1149
1,2,2,35,4,2,12,572
1,5,1,15,2,10,0,0
4,2,1,45,3,10,0,555
1,2,2,40,2,10,0,0
1,2,2,20,3,10,0,5
1,2,2,50,3,5,8,354
1,11,1,65,1,4,0,502
1,3,1,60,1,7,40,1760
4,2,2,25,4,10,0,331
4,2,2,20,2,8,0,135
1,2,2,20,3,3,15,248
1,7,1,40,4,2,42,1026
1,2,1,65,1,10,0,330
2,7,2,25,3,2,15,590
1,2,1,65,5,10,0,180
1,1,2,45,3,2,18.5,653
1,7,2,65,2,10,0,377
1,2,2,40,3,1,29.5,1651
1,8,1,60,1,1,40,2444
3,2,2,65,1,10,0,69
1,9,2,65,1,3,0,-863
1,3,2,55,3,8,30,567
1,11,2,60,1,9,40,792
1,8,2,30,3,3,42.5,883
1,2,1,15,1,8,10,117
12,6,2,15,1,10,0,219
5,8,2,25,3,8,7.5,261
3,2,2,15,2,10,0,0
1,11,1,55,3,1,0,1047
1,7,2,65,1,10,0,132
2,5,2,15,1,10,0,510
1,3,2,65,2,10,0,212
4,2,2,65,1,10,0,401
1,8,2,20,1,1,37,729
4,2,1,45,1,8,50,1378
1,1,2,50,3,3,35,1063
1,7,1,65,3,10,0,382
1,10,2,60,1,1,18,1662
1,10,1,45,1,1,0,0
6,7,2,50,2,4,0,541
1,2,1,65,2,8,0,281
1,11,1,25,2,10,0,356
2,4,1,50,1,6,21.5,527
1,1,1,60,2,6,39.5,1372
4,3,1,20,2,3,20,130
1,2,2,30,2,6,38,1393
3,2,1,65,3,10,0,473
4,4,2,30,3,6,40,968
3,2,2,45,2,5,40,604
4,2,2,55,2,10,0,0
1,3,2,65,1,3,42.5,617
1,9,1,60,3,1,40,1056
1,10,1,50,5,2,48,1664
1,10,2,20,2,10,0,616
1,6,1,20,1,1,45,990
4,2,2,60,2,10,0,0
6,11,2,60,1,10,0,290
1,2,2,20,4,2,40,657
1,11,2,15,2,10,0,0
12,3,1,30,3,7,21,578
1,2,1,65,1,10,0,1081
1,4,1,60,3,2,50,1838
2,8,1,15,1,10,0,0
1,1,1,65,1,10,0,-21
1,3,2,65,5,10,0,271
1,10,1,20,2,8,31,462
13,2,2,35,4,2,0,0
1,12,1,35,3,2,34,974
5,10,2,30,5,10,0,234
4,2,1,40,5,10,0,317
1,7,2,55,2,5,50,927
1,8,2,25,2,1,15,791
4,2,1,25,4,6,41.5,798
1,9,1,65,2,10,0,540
1,12,1,30,3,10,0,162
1,9,1,65,3,4,42.5,741
1,8,2,25,1,10,0,0
1,3,1,30,4,1,0,432
1,10,1,30,2,8,52.5,1356
3,2,2,25,3,8,35,431
1,8,1,40,4,1,44,1255
1,5,1,25,1,1,41.5,955
1,4,1,60,3,8,40,792
1,9,2,35,3,5,40,1349
12,1,1,50,3,10,0,324
12,1,2,15,2,10,0,0
1,10,1,45,4,2,0,1971
1,11,2,15,2,10,0,0
1,8,2,20,2,10,0,290
1,8,1,65,4,10,0,0
2,4,1,65,1,10,0,203
3,6,1,25,2,3,50,794
1,12,1,25,3,3,42,801
1,5,2,65,3,4,9,144
1,10,2,55,2,7,40,802
1,3,2,40,5,4,40,943
1,2,1,65,3,10,0,271
1,1,2,60,5,3,0,496
1,11,2,20,4,2,40,1333
1,12,2,65,1,10,0,373
1,2,1,50,4,2,55,7711
1,3,1,20,3,3,20,236
12,4,2,20,3,7,6.5,99
12,2,2,20,5,2,40,884
1,11,1,55,4,5,37.5,743
1,10,1,50,4,10,0,613
1,2,1,15,2,4,12,188
14,10,1,15,2,10,0,523
1,2,1,45,1,1,47.5,2175
2,7,2,55,2,10,0,142
5,3,2,40,2,10,0,0
1,8,1,20,2,8,40,648
3,2,2,35,4,2,40,880
1,2,1,45,3,1,50,2023
1,2,1,15,2,10,0,0
3,7,2,55,5,10,0,456
4,2,1,20,3,7,40,660
1,10,1,15,2,10,0,0
3,11,1,45,1,10,0,0
1,3,2,20,2,2,14,216
1,11,2,65,4,3,40,1070
1,2,2,50,1,4,66.5,978
1,8,1,45,1,8,18,947
1,8,1,30,2,1,48,1133
1,10,2,65,1,10,0,0
1,8,2,20,3,5,40,594
4,8,1,25,4,2,16,198
1,8,1,25,4,2,42,975
2,10,1,40,1,10,0,105
1,11,1,55,2,1,40,829
1,5,2,35,4,2,40,789
1,2,1,50,3,1,40,1760
1,4,2,65,1,10,0,265
4,8,1,25,2,6,0,2071
3,2,1,65,1,10,0,0
1,10,2,30,3,2,13,1322
1,11,2,25,4,2,0,147
1,2,1,30,2,10,0,195
1,10,2,40,2,10,0,653
1,7,1,15,1,2,40,980
1,3,2,25,2,10,0,399
1,7,1,40,1,8,40,1035
1,9,2,50,3,4,45,879
1,10,1,15,1,10,0,207
1,3,2,55,4,1,46,1747
1,3,1,45,5,3,47.5,1128
1,2,2,60,3,3,8,160
1,9,2,65,1,10,0,470
1,2,2,65,3,6,40,481
4,2,1,20,4,2,40,616
1,11,2,60,4,4,0,0
1,8,1,35,3,3,0,2743
2,5,1,15,1,10,0,0
1,8,2,55,4,5,45,1561
4,2,1,30,2,10,0,789
1,8,1,45,3,3,40,863
2,4,2,45,3,10,0,393
1,2,1,65,4,10,0,209
1,10,1,35,3,3,40,1000
12,2,1,50,4,10,0,276
4,8,1,60,4,3,35,1452
1,2,2,40,3,2,40,2743
1,8,2,35,2,6,27,624
1,1,2,25,3,5,0,251
3,2,1,15,2,10,0,0
1,9,1,50,1,8,30,407
1,10,1,15,2,10,0,0
1,6,2,35,2,10,0,-89
1,8,1,55,3,1,40,1036
1,10,1,60,2,7,40,704
1,4,2,60,2,10,0,381
23,2,2,20,2,10,0,198
4,2,2,45,2,10,0,198
4,8,1,60,3,8,40,690
1,2,1,30,3,1,50.5,1337
1,2,2,20,1,5,35,492
4,4,1,20,3,6,42.5,747
6,10,2,65,1,10,0,242
1,8,1,45,2,3,40,878
1,7,2,45,4,4,40,1560
6,9,1,65,4,1,40,2744
1,11,1,35,4,5,40,2121
1,2,2,55,2,2,0,693
1,12,2,45,3,4,17,654
1,3,2,65,2,1,45,648
1,7,1,35,3,1,0,432
1,3,1,35,4,3,42.5,805
4,2,1,40,4,2,40.5,1494
6,7,1,20,2,6,40,660
1,2,2,50,2,2,40,1585
1,2,1,45,2,8,0,215
1,11,2,20,2,6,40.5,498
1,9,2,15,2,10,0,199
4,10,1,25,4,6,42,762
1,10,1,20,3,6,37,932
3,8,2,40,3,2,8,216
1,2,1,65,5,10,0,195
2,7,2,20,2,8,22,245
1,11,2,45,3,10,0,144
1,4,1,65,5,1,17,717
1,1,1,65,3,10,0,201
2,3,1,35,3,1,45,1014
1,2,2,35,3,5,0,1271
1,9,2,45,3,5,40,1329
6,11,1,15,1,4,15,189
12,4,1,65,1,10,0,246
3,2,2,15,4,10,0,261
2,2,1,45,4,1,0,2304
1,6,2,20,5,5,32,744
1,10,2,30,4,10,0,2600
1,8,2,65,3,8,16,308
4,2,1,15,1,10,0,0
1,11,1,30,5,2,0,897
1,10,2,65,1,10,0,-169
1,9,1,60,4,2,0,0
1,12,1,30,4,2,40,911
1,10,1,15,1,10,0,0
1,3,1,50,2,1,40,2167
4,2,1,25,1,1,45,715
3,2,2,25,2,5,2,48
1,2,1,65,3,10,0,173
6,11,1,50,2,4,55,1049
1,8,2,65,1,6,12,597
1,2,1,60,1,6,0,532
1,8,2,20,4,3,40,1165
1,9,2,50,2,5,8.5,145
1,10,1,35,3,3,40,1020
1,3,2,50,1,10,0,173
4,2,1,30,4,2,46,898
4,2,2,35,3,10,0,405
1,7,2,25,4,2,4,162
3,7,2,35,1,10,0,242
5,10,1,30,2,7,45,769
1,8,2,20,3,4,38,962
1,4,2,40,2,6,12,395
1,10,1,25,4,2,16,2077
4,8,1,20,3,10,0,572
1,8,1,55,3,1,40,1582
1,5,1,55,1,8,35,693
1,8,2,55,1,6,16,460
12,2,1,15,2,10,0,0
1,1,1,35,3,1,0,540
1,5,2,60,3,8,40,684
1,2,1,60,3,3,40,949
1,7,1,45,2,8,15,176
1,10,1,25,3,3,30,825
1,9,2,50,1,3,43,839
3,4,1,40,2,3,0,656
1,6,2,35,4,2,40,2532
4,5,2,30,1,10,0,154
1,2,2,35,1,8,40,468
2,8,1,15,1,10,0,0
3,3,1,50,2,1,0,863
12,1,1,15,1,10,0,0
1,1,2,45,3,10,0,0
2,1,2,30,3,1,0,380
1,8,1,45,1,2,40,1477
1,3,2,60,1,10,0,84
1,2,1,65,1,1,38,1555
1,8,1,35,3,7,0,-42
2,2,2,20,1,10,0,206
1,3,2,15,1,5,20,248
12,2,2,50,4,2,0,-211
1,9,1,65,1,10,0,246
3,2,1,40,2,10,0,266
1,5,2,45,2,5,41.5,1333
1,2,2,30,3,5,40,748
4,10,2,35,4,10,0,385
1,10,2,40,5,1,40,3979
1,9,1,55,1,10,0,810
1,3,1,55,1,5,65,1219
1,7,1,30,4,2,50,810
1,12,2,65,1,10,0,889
1,2,1,65,1,10,0,572
1,8,2,35,4,2,0,413
3,2,2,35,4,1,50,1374
1,11,1,30,3,10,0,0
4,2,1,65,4,10,0,44
1,10,1,60,1,5,54.5,434
4,8,1,15,2,10,0,328
13,2,2,25,3,10,0,14
2,7,2,55,5,4,37.5,2289
2,6,2,60,2,1,84,1399
1,1,2,65,4,10,0,321
1,10,1,55,2,8,40,770
1,8,2,25,3,10,0,26
1,10,2,45,4,2,40,2417
1,10,1,35,5,7,45,1640
4,4,2,40,4,3,45,909
3,3,2,50,3,5,40,1688
1,10,1,20,2,8,30,462
1,8,2,25,2,1,40,1034
1,6,2,15,1,10,0,0
1,3,2,40,2,2,10,475
4,2,1,20,2,8,5,103
14,2,1,15,2,10,0,298
2,7,2,20,1,1,3,36
1,10,1,35,5,8,20,506
12,11,1,20,2,8,0,0
1,2,1,65,1,6,0,704
1,10,1,60,3,10,0,682
1,3,2,25,2,5,16,317
1,10,1,40,1,10,0,265
4,11,1,15,2,10,0,271
1,5,1,50,4,1,40,1251
1,11,1,45,3,6,0,348
1,8,2,50,4,10,0,42
3,8,2,45,1,5,0,337
1,10,2,20,3,1,40,777
1,2,1,35,3,3,0,1354
2,9,1,45,1,7,73,2904
1,4,1,25,3,7,53.5,1471
1,6,1,40,2,3,30,1644
1,7,1,20,3,8,0,0
1,2,2,65,2,10,0,0
1,10,2,15,1,10,0,301
1,8,1,50,5,3,10,226
4,2,1,40,4,5,40,811
1,8,1,50,3,2,40,1857
1,9,2,60,3,10,0,711
1,8,1,50,5,7,45,949
2,2,1,35,2,8,40,495
1,7,1,55,3,3,40,700
1,5,1,45,3,3,6,138
1,3,2,35,2,4,26,1144
1,3,1,60,1,1,0,303
1,2,1,55,4,1,60,4870
1,10,2,35,3,1,36,840
1,2,1,30,5,8,50.5,1164
3,8,2,30,4,2,36.5,1081
1,3,2,20,1,8,37,1069
4,2,1,40,2,8,40,648
1,8,2,35,4,5,8,424
1,2,2,30,4,10,0,265
2,2,1,40,3,10,0,221
4,2,1,55,3,7,45,3145
1,10,1,20,3,4,34.5,466
14,8,1,35,3,5,40,534
1,10,2,55,3,5,0,422
1,2,1,15,1,7,20,374
2,5,2,40,3,5,37.5,932
1,9,2,25,3,3,12,1441
1,2,2,60,4,10,0,0
1,3,2,60,3,10,0,481
1,3,2,65,1,10,0,273
1,11,1,20,3,3,40,490
1,7,1,60,3,8,41,810
2,8,2,15,1,8,10,110
1,2,1,55,4,10,0,0
4,2,1,25,4,10,0,521
3,2,1,25,1,10,0,458
1,9,2,15,2,10,0,0
4,2,2,35,4,7,0,899
1,8,1,35,3,4,0,317
1,3,1,65,4,10,0,1051
1,2,1,45,4,2,40,3073
1,4,1,50,5,1,0,970
1,2,1,65,2,2,0,347
12,5,2,65,2,10,0,0
1,7,2,45,3,10,0,495
1,1,1,65,2,10,0,144
1,8,2,50,2,10,0,0
1,8,1,30,2,10,0,532
1,2,2,45,3,10,0,512
4,2,2,15,2,10,0,0
1,11,1,25,3,5,37,777
5,2,1,30,4,10,0,19
1,2,1,25,3,3,45,842
1,10,2,20,2,6,40,792
2,2,1,25,3,1,40,744
6,10,2,50,2,10,0,0
1,8,1,25,4,1,40,970
1,10,1,40,3,2,0,1730
1,2,2,35,2,10,0,369
2,5,2,45,3,10,0,214
1,9,1,65,1,10,0,331
1,8,2,20,2,5,38,585
1,7,1,40,3,3,0,-211
1,10,1,65,3,10,0,0
2,1,2,65,1,10,0,0
1,12,1,25,1,10,0,487
1,10,1,55,3,7,57.5,1400
1,2,2,20,2,10,0,358
4,2,2,45,5,5,40,770
4,2,2,15,1,10,0,0
1,9,1,40,2,6,0,0
1,2,1,25,3,1,32,653
1,11,2,35,3,4,40,1374
1,2,2,60,1,10,0,272
1,2,1,30,4,10,0,365
1,8,1,65,3,10,0,0
2,3,1,35,5,10,0,343
1,10,2,55,1,6,37,737
1,7,1,60,1,3,0,1688
4,10,1,25,3,8,40,605
1,7,2,45,1,10,0,1036
5,2,2,15,2,2,8,220
1,9,1,35,3,10,0,431
2,5,2,60,3,5,6,685
1,2,2,45,3,6,40,949
1,8,1,30,3,3,0,0
1,10,1,50,3,3,9,950
5,8,2,25,4,6,13,176
4,2,2,15,2,7,10,151
3,2,2,55,1,5,0,179
1,8,1,65,5,3,42.5,1206
1,4,1,45,1,5,40,1440
3,2,2,35,5,10,0,473
1,7,2,65,3,10,0,0
4,8,1,55,3,8,45,829
13,8,1,20,2,8,40,576
1,3,2,65,4,6,9,142
12,1,1,40,1,1,26,574
1,4,2,50,2,5,16,327
1,10,2,65,1,3,37,815
1,5,2,45,4,8,37.5,937
1,2,2,20,2,4,30,437
1,2,2,60,1,1,4,117
1,10,2,60,3,2,30,901
1,6,1,40,3,2,42,924
1,9,2,40,3,2,60,1221
12,3,2,15,2,10,0,0
4,2,2,45,4,3,20,259
2,6,2,55,1,10,0,486
1,2,1,30,4,2,9,1859
1,8,2,30,4,2,34,796
1,7,1,40,3,1,65,1521
1,4,2,30,4,4,35,449
4,2,2,35,2,3,37,518
1,2,2,55,3,4,56,1574
12,4,2,60,3,8,0,310
2,4,1,45,4,2,0,373
1,10,1,45,2,3,46.5,938
1,7,1,45,3,3,9,475
2,10,1,50,3,10,0,484
1,5,2,35,2,5,37,1191
1,8,1,65,2,10,0,265
1,8,2,65,1,10,0,0
1,2,2,60,5,2,50,1374
1,2,1,60,4,2,40,4965
1,4,2,20,2,8,20,280
1,2,1,20,4,2,48,633
2,1,2,40,1,10,0,348
1,10,2,25,3,1,37.5,905
1,4,2,65,1,10,0,0
3,8,2,45,2,2,0,876
12,8,1,20,3,10,0,131
1,11,1,20,2,10,0,0
12,5,2,55,4,2,40,1519
1,2,1,40,2,8,0,-3551
1,10,1,50,2,8,32,686
12,1,2,60,1,10,0,821
2,8,1,50,1,10,0,351
1,8,2,15,2,10,0,197
1,2,1,55,1,8,17.5,298
1,3,1,45,2,1,40,641
12,3,2,25,2,10,0,257
1,5,2,60,3,6,0,121
1,4,2,55,3,7,24,990
1,4,2,65,1,10,0,246
1,2,1,15,3,10,0,0
1,10,2,65,2,10,0,890
12,2,1,50,1,6,16,4117
3,2,1,15,1,10,0,302
4,10,1,55,4,2,20,0
12,7,2,40,3,4,17,1003
1,10,1,60,1,2,30,927
1,5,1,65,1,10,0,136
1,8,2,50,4,2,0,414
1,3,1,50,3,7,55,1401
1,2,1,20,2,3,40,725
1,11,2,40,2,4,40,690
1,3,2,20,4,1,60,791
4,8,1,65,2,10,0,353
1,8,2,55,3,2,0,179
1,8,2,50,3,2,20,138
4,2,1,30,3,8,0,171
12,2,1,35,1,2,40,522
12,2,2,30,4,10,0,206
5,2,1,30,2,10,0,0
1,5,2,65,5,8,0,332
24,2,2,30,3,10,0,17
1,9,2,35,4,2,50.5,1429
4,4,1,40,5,5,40,1312
4,2,1,55,2,1,45,2413
1,9,1,15,1,10,0,369
1,6,1,25,2,5,43.5,985
12,3,2,15,3,10,0,0
